Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample1	26	6	26	54	4	36
Sample2	108	0	14	12	18	0
Sample3	37	6	31	50	6	22
Sample4	48	45	13	11	11	26
Sample5	56	15	0	43	21	15
Sample6	21	18	38	15	21	31
Sample7	0	39	31	11	20	47
Sample8	63	14	26	11	27	7
Sample9	24	4	22	52	22	24
Sample10	17	20	53	6	52	2
Sample11	20	52	14	28	11	31
Sample12	25	31	21	18	13	38
Sample13	2	53	27	25	30	9
Sample14	36	25	24	40	15	10
Sample15	42	39	0	25	39	5
Sample16	43	55	13	10	26	1
Sample17	61	26	30	0	23	14
Sample18	27	14	46	36	0	29
Sample19	0	39	0	46	42	29
Sample20	0	39	36	33	0	34
Sample21	40	27	40	7	16	18
Sample22	35	48	24	33	10	0
Sample23	7	0	19	56	7	49
Sample24	15	47	29	0	18	39
Sample25	65	17	17	6	34	13
Sample26	33	25	30	4	44	12
Sample27	25	24	31	10	32	26
Sample28	0	38	34	51	0	23
Sample29	48	5	28	0	57	16
Sample30	21	18	38	15	21	31
Sample31	20	21	36	12	19	38
Sample32	19	1	0	57	58	9
Sample33	19	34	33	20	13	29
Sample34	8	42	23	21	54	0
Sample35	23	35	18	0	29	49
Sample36	0	21	34	21	23	43
Sample37	44	12	47	9	25	11
Sample38	3	28	17	60	0	40
