Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	29	0	6	0	13	116	0	42
Sample2	0	37	12	4	11	1	0	11
Sample3	0	25	8	7	11	0	3	13
Sample4	63	5	0	0	0	0	3	17
Sample5	14	0	0	4	0	0	10	17
Sample6	59	2	2	11	13	0	4	3
Sample7	14	0	29	30	16	83	13	0
Sample8	0	20	2	8	12	2	8	14
Sample9	7	0	0	4	16	4	9	28
Sample10	6	21	24	11	10	0	0	0
Sample11	52	0	10	14	0	2	4	1
Sample12	16	21	0	1	2	4	1	20
Sample13	0	20	6	25	9	0	2	0
Sample14	14	17	30	0	13	30	0	7
Sample15	49	0	24	0	9	0	6	1
Sample16	57	6	15	0	12	4	0	1
Sample17	0	0	0	4	20	3	10	0
Sample18	11	0	30	19	39	84	6	4
Sample19	0	11	10	32	6	6	2	1
Sample20	0	37	7	12	0	0	7	0
Sample21	0	18	5	19	13	0	1	5
Sample22	5	32	10	1	5	1	3	11
Sample23	94	8	0	0	16	64	12	0
Sample24	45	4	9	3	18	0	4	6
Sample25	0	23	17	16	5	0	1	9
Sample26	3	0	19	0	14	0	18	10
Sample27	1	20	9	8	7	0	0	22
Sample28	0	34	8	12	1	0	2	9
Sample29	0	0	6	0	0	0	39	0
Sample30	6	19	28	0	17	25	16	0
Sample31	0	14	29	14	6	2	6	0
Sample32	4	28	0	20	6	5	2	0
Sample33	43	25	14	1	10	73	14	0
Sample34	0	16	12	22	12	0	2	0
Sample35	0	33	17	4	3	0	0	9
Sample36	0	35	19	5	8	4	0	6
Sample37	0	32	2	3	11	1	12	10
Sample38	0	23	12	13	5	0	7	5
Sample39	74	10	0	0	18	88	4	0
Sample40	0	30	12	18	7	0	0	0
Sample41	38	4	22	6	10	7	10	0
Sample42	0	28	10	6	0	2	2	10
Sample43	0	0	6	0	0	0	39	0
Sample44	53	3	5	17	10	0	9	0
Sample45	47	8	11	9	4	20	8	0
Sample46	57	0	16	0	9	13	8	0
Sample47	0	10	24	20	4	0	4	0
Sample48	0	0	6	0	0	0	39	0
Sample49	0	19	19	17	4	0	5	0
Sample50	0	35	3	10	6	7	9	0
Sample51	0	29	11	13	9	0	0	0
Sample52	2	15	10	30	10	17	3	2
Sample53	0	0	6	0	0	0	39	0
Sample54	4	34	12	8	2	0	5	0
Sample55	10	0	0	7	10	0	6	21
Sample56	1	36	19	0	24	9	0	0
Sample57	1	41	4	0	16	0	0	9
Sample58	10	13	13	12	5	1	4	10
Sample59	55	2	14	3	25	0	1	7
Sample60	6	6	15	22	6	5	3	0
Sample61	0	6	0	30	15	0	9	7
Sample62	50	3	10	0	21	2	0	13
Sample63	2	19	18	18	1	0	0	1
Sample64	43	12	20	0	12	4	8	4
Sample65	18	0	20	0	31	0	3	27
Sample66	0	17	12	16	9	0	0	12
Sample67	0	23	14	14	2	0	7	0
Sample68	56	16	6	7	9	3	0	0
Sample69	0	15	23	18	3	0	6	1
Sample70	12	19	6	27	0	4	4	0
Sample71	0	23	16	19	4	0	5	0
Sample72	1	40	10	13	11	0	0	0
Sample73	0	39	7	3	0	1	0	15
Sample74	0	28	4	14	7	0	1	6
Sample75	7	0	7	34	8	0	10	3
Sample76	1	24	16	0	8	0	11	7
Sample77	89	10	0	0	22	67	0	5
Sample78	57	0	0	21	15	2	1	6
Sample79	64	13	0	8	3	5	0	0
Sample80	0	0	6	0	0	0	39	0
Sample81	0	20	33	2	11	0	1	4
Sample82	0	24	16	2	1	0	8	11
Sample83	57	4	7	0	12	1	4	5
Sample84	50	0	0	8	14	0	4	11
Sample85	64	0	10	0	17	0	4	2
Sample86	61	0	9	4	8	0	7	0
Sample87	0	24	0	13	9	0	9	4
Sample88	0	33	19	2	16	19	0	0
Sample89	2	31	12	12	2	0	2	6
Sample90	7	26	6	14	7	0	3	0
Sample91	0	34	6	10	4	3	0	8
Sample92	0	23	15	13	7	0	3	6
Sample93	5	0	24	33	3	7	0	4
Sample94	8	37	11	9	7	1	15	0
Sample95	5	19	1	24	7	0	8	1
Sample96	0	23	0	24	4	4	4	4
Sample97	0	19	18	11	9	0	0	9
Sample98	14	10	20	21	25	43	3	0
Sample99	13	6	43	0	5	23	0	0
Sample100	0	22	3	21	10	4	0	5
