Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	181	0	230	33	29	333	199
Sample2	540	77	67	156	44	70	46
Sample3	541	93	139	62	71	49	45
Sample4	177	372	42	193	14	21	168
Sample5	157	264	335	89	0	75	116
Sample6	169	434	200	90	54	0	69
Sample7	326	44	15	148	279	201	2
Sample8	431	45	166	119	82	102	40
Sample9	457	117	156	0	74	66	122
Sample10	476	186	73	106	63	61	27
Sample11	200	361	159	108	28	0	169
Sample12	310	179	151	163	0	0	167
Sample13	573	17	114	89	78	16	101
Sample14	284	80	180	113	20	306	0
Sample15	122	333	195	157	0	168	60
Sample16	148	491	182	36	35	101	37
Sample17	300	0	501	0	95	41	46
Sample18	294	0	40	225	328	74	54
Sample19	450	198	184	0	134	0	42
Sample20	512	68	164	94	40	76	30
Sample21	530	184	53	29	70	2	112
Sample22	454	139	66	159	16	106	74
Sample23	71	403	117	88	200	102	35
Sample24	185	439	170	74	50	0	97
Sample25	513	162	78	97	33	24	93
Sample26	169	94	391	0	60	223	50
Sample27	450	176	142	0	67	75	98
Sample28	471	147	128	120	57	32	45
Sample29	139	0	465	282	0	28	58
Sample30	290	67	127	80	93	301	26
Sample31	524	112	111	24	126	47	56
Sample32	557	132	79	31	119	20	42
Sample33	321	61	37	174	305	78	10
Sample34	499	35	138	180	46	83	19
Sample35	542	128	85	56	77	65	47
Sample36	527	49	70	168	49	97	48
Sample37	519	95	72	89	81	42	94
Sample38	515	37	140	124	63	81	32
Sample39	63	253	72	135	288	9	205
Sample40	557	90	92	99	62	56	44
Sample41	200	341	113	108	59	73	86
Sample42	521	113	109	95	38	68	36
Sample43	139	0	465	282	0	28	58
Sample44	158	497	60	126	45	11	77
Sample45	145	449	140	0	88	36	126
Sample46	134	460	178	50	75	55	84
Sample47	492	111	207	51	77	40	30
Sample48	139	0	465	282	0	28	58
Sample49	491	154	204	9	76	27	39
Sample50	475	22	114	163	14	109	111
Sample51	519	134	24	103	89	37	102
Sample52	502	13	95	135	79	117	86
Sample53	139	0	465	282	0	28	58
Sample54	527	120	93	81	85	41	32
Sample55	353	181	201	33	34	72	106
Sample56	431	123	13	116	65	208	18
Sample57	530	147	102	52	89	31	49
Sample58	438	106	129	71	88	30	153
Sample59	106	401	172	92	19	152	47
Sample60	487	104	161	51	42	58	76
Sample61	544	74	175	60	95	9	51
Sample62	114	317	158	123	60	106	108
Sample63	578	110	121	0	42	78	52
Sample64	117	441	122	110	13	114	64
Sample65	157	278	223	3	114	76	136
